"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"4567506","Tahj Washington","USC","Pac-12","defensive","PD","0"
"4870928","Malachi Nelson","USC","Pac-12","passing","COMPLETIONS","1"
"4431611","Caleb Williams","USC","Pac-12","rushing","TD","11"
"4429023","MarShawn Lloyd","USC","Pac-12","fumbles","FUM","4"
"4905248","Carson Tabaracci","USC","Pac-12","defensive","PD","0"
"4917949","Quinten Joyner","USC","Pac-12","rushing","LONG","47"
"4685244","Bear Alexander","USC","Pac-12","defensive","PD","1"
"4429028","Chris Thompson Jr.","USC","Pac-12","defensive","TOT","8"
"4431517","Calen Bullock","USC","Pac-12","interceptions","INT","2"
"4430601","Kobe Pepe","USC","Pac-12","defensive","SACKS","0"
"4374309","Jac Casasante","USC","Pac-12","defensive","TOT","1"
"4569330","Austin Jones","USC","Pac-12","fumbles","LOST","1"
"4431611","Caleb Williams","USC","Pac-12","receiving","TD","0"
"4566198","Lake McRee","USC","Pac-12","receiving","TD","1"
"4432660","Anthony Beavers Jr.","USC","Pac-12","defensive","TD","0"
"4567506","Tahj Washington","USC","Pac-12","rushing","YPC","10.0"
"4567115","Shane Lee","USC","Pac-12","defensive","QB HUR","0"
"4373474","Jarrett Kingston","USC","Pac-12","defensive","SOLO","1"
"4870928","Malachi Nelson","USC","Pac-12","passing","YDS","0"
"4875309","Denis Lynch","USC","Pac-12","kicking","PCT","0.714"
"4431618","Mario Williams","USC","Pac-12","rushing","TD","0"
"4431274","Korey Foreman","USC","Pac-12","defensive","TOT","1"
"4870612","Zachariah Branch","USC","Pac-12","rushing","YDS","70"
"4567506","Tahj Washington","USC","Pac-12","defensive","SACKS","0"
"4685244","Bear Alexander","USC","Pac-12","defensive","SOLO","24"
"4917949","Quinten Joyner","USC","Pac-12","rushing","YPC","7.8"
"4430285","Deuce Palmer","USC","Pac-12","defensive","SACKS","0"
"4374309","Jac Casasante","USC","Pac-12","defensive","TD","0"
"4602656","Eric Gentry","USC","Pac-12","defensive","PD","3"
"4875308","Josiah Zamora","USC","Pac-12","receiving","LONG","6"
"4917949","Quinten Joyner","USC","Pac-12","receiving","TD","0"
