"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"4685311","Jayden Denegal","Michigan","Big Ten","passing","COMPLETIONS","4"
"4878681","Davis Warren","Michigan","Big Ten","passing","YDS","0"
"4361025","Jack Tuttle","Michigan","Big Ten","passing","INT","0"
"4685311","Jayden Denegal","Michigan","Big Ten","passing","YPA","10.0"
"-6635"," Team","Michigan","Big Ten","passing","COMPLETIONS","0"
"4685311","Jayden Denegal","Michigan","Big Ten","passing","INT","0"
"4878681","Davis Warren","Michigan","Big Ten","passing","PCT","0.000"
"4361025","Jack Tuttle","Michigan","Big Ten","passing","YDS","130"
"4361025","Jack Tuttle","Michigan","Big Ten","passing","YPA","7.6"
"4685311","Jayden Denegal","Michigan","Big Ten","passing","PCT","0.800"
"4431536","Donovan Edwards","Michigan","Big Ten","passing","ATT","1"
"4433970","J.J. McCarthy","Michigan","Big Ten","passing","TD","22"
"4431536","Donovan Edwards","Michigan","Big Ten","passing","YDS","34"
"4685311","Jayden Denegal","Michigan","Big Ten","passing","TD","1"
"4433970","J.J. McCarthy","Michigan","Big Ten","passing","PCT","0.723"
"4431536","Donovan Edwards","Michigan","Big Ten","passing","YPA","34.0"
"4361025","Jack Tuttle","Michigan","Big Ten","passing","ATT","17"
"4878681","Davis Warren","Michigan","Big Ten","passing","COMPLETIONS","0"
"4431536","Donovan Edwards","Michigan","Big Ten","passing","PCT","1.000"
"4361025","Jack Tuttle","Michigan","Big Ten","passing","PCT","0.882"
"4431536","Donovan Edwards","Michigan","Big Ten","passing","COMPLETIONS","1"
"4361025","Jack Tuttle","Michigan","Big Ten","passing","COMPLETIONS","15"
"-6635"," Team","Michigan","Big Ten","passing","INT","0"
"4433970","J.J. McCarthy","Michigan","Big Ten","passing","YPA","9.0"
"4685311","Jayden Denegal","Michigan","Big Ten","passing","ATT","5"
"4878681","Davis Warren","Michigan","Big Ten","passing","TD","0"
"4878681","Davis Warren","Michigan","Big Ten","passing","INT","1"
"-6635"," Team","Michigan","Big Ten","passing","YDS","0"
"-6635"," Team","Michigan","Big Ten","passing","PCT","0.000"
"4431536","Donovan Edwards","Michigan","Big Ten","passing","INT","0"
"4433970","J.J. McCarthy","Michigan","Big Ten","passing","INT","4"
"4878681","Davis Warren","Michigan","Big Ten","passing","ATT","5"
"4433970","J.J. McCarthy","Michigan","Big Ten","passing","COMPLETIONS","240"
"-6635"," Team","Michigan","Big Ten","passing","YPA","0.0"
"-6635"," Team","Michigan","Big Ten","passing","TD","0"
"4685311","Jayden Denegal","Michigan","Big Ten","passing","YDS","50"
"4878681","Davis Warren","Michigan","Big Ten","passing","YPA","0.0"
"4433970","J.J. McCarthy","Michigan","Big Ten","passing","YDS","2991"
"4433970","J.J. McCarthy","Michigan","Big Ten","passing","ATT","332"
"-6635"," Team","Michigan","Big Ten","passing","ATT","1"
"4431536","Donovan Edwards","Michigan","Big Ten","passing","TD","0"
"4361025","Jack Tuttle","Michigan","Big Ten","passing","TD","1"
