"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"-7045"," Team","Oregon","Pac-12","passing","INT","1"
"4426338","Bo Nix","Oregon","Pac-12","passing","YDS","4508"
"4426338","Bo Nix","Oregon","Pac-12","passing","PCT","0.774"
"4912647","Austin Novosad","Oregon","Pac-12","passing","YDS","52"
"4596448","Mar'Keise Irving","Oregon","Pac-12","passing","TD","0"
"4596448","Mar'Keise Irving","Oregon","Pac-12","passing","COMPLETIONS","0"
"4432774","Ty Thompson","Oregon","Pac-12","passing","YDS","297"
"4426338","Bo Nix","Oregon","Pac-12","passing","COMPLETIONS","364"
"4912647","Austin Novosad","Oregon","Pac-12","passing","INT","0"
"-7045"," Team","Oregon","Pac-12","passing","ATT","1"
"4432774","Ty Thompson","Oregon","Pac-12","passing","PCT","0.774"
"-7045"," Team","Oregon","Pac-12","passing","PCT","0.000"
"4432774","Ty Thompson","Oregon","Pac-12","passing","COMPLETIONS","24"
"4912647","Austin Novosad","Oregon","Pac-12","passing","COMPLETIONS","9"
"4432774","Ty Thompson","Oregon","Pac-12","passing","YPA","9.6"
"4596448","Mar'Keise Irving","Oregon","Pac-12","passing","PCT","0.000"
"-7045"," Team","Oregon","Pac-12","passing","YDS","0"
"4426338","Bo Nix","Oregon","Pac-12","passing","INT","3"
"4426338","Bo Nix","Oregon","Pac-12","passing","YPA","9.6"
"4432774","Ty Thompson","Oregon","Pac-12","passing","TD","4"
"4596448","Mar'Keise Irving","Oregon","Pac-12","passing","ATT","1"
"4596448","Mar'Keise Irving","Oregon","Pac-12","passing","YDS","0"
"-7045"," Team","Oregon","Pac-12","passing","COMPLETIONS","0"
"-7045"," Team","Oregon","Pac-12","passing","TD","0"
"4596448","Mar'Keise Irving","Oregon","Pac-12","passing","INT","0"
"4912647","Austin Novosad","Oregon","Pac-12","passing","PCT","0.818"
"4912647","Austin Novosad","Oregon","Pac-12","passing","YPA","4.7"
"4426338","Bo Nix","Oregon","Pac-12","passing","ATT","470"
"4912647","Austin Novosad","Oregon","Pac-12","passing","TD","0"
"4432774","Ty Thompson","Oregon","Pac-12","passing","INT","1"
"-7045"," Team","Oregon","Pac-12","passing","YPA","0.0"
"4912647","Austin Novosad","Oregon","Pac-12","passing","ATT","11"
"4432774","Ty Thompson","Oregon","Pac-12","passing","ATT","31"
"4596448","Mar'Keise Irving","Oregon","Pac-12","passing","YPA","0.0"
"4426338","Bo Nix","Oregon","Pac-12","passing","TD","45"
