"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"4430950","Jefferson Boaz","North Carolina","ACC","passing","COMPLETIONS","1"
"4431452","Drake Maye","North Carolina","ACC","passing","YDS","3608"
"4431452","Drake Maye","North Carolina","ACC","passing","TD","24"
"4430950","Jefferson Boaz","North Carolina","ACC","passing","INT","0"
"4431452","Drake Maye","North Carolina","ACC","passing","PCT","0.633"
"4431452","Drake Maye","North Carolina","ACC","passing","YPA","8.5"
"4595341","Caleb Hood","North Carolina","ACC","passing","ATT","1"
"4801306","Conner Harrell","North Carolina","ACC","passing","PCT","0.667"
"4430950","Jefferson Boaz","North Carolina","ACC","passing","PCT","1.000"
"4430950","Jefferson Boaz","North Carolina","ACC","passing","ATT","1"
"4801306","Conner Harrell","North Carolina","ACC","passing","COMPLETIONS","22"
"4595341","Caleb Hood","North Carolina","ACC","passing","PCT","0.000"
"4801306","Conner Harrell","North Carolina","ACC","passing","YDS","270"
"4595341","Caleb Hood","North Carolina","ACC","passing","TD","0"
"4595341","Caleb Hood","North Carolina","ACC","passing","YDS","0"
"4595341","Caleb Hood","North Carolina","ACC","passing","INT","0"
"4430950","Jefferson Boaz","North Carolina","ACC","passing","TD","0"
"4430950","Jefferson Boaz","North Carolina","ACC","passing","YPA","3.0"
"4801306","Conner Harrell","North Carolina","ACC","passing","ATT","33"
"4431452","Drake Maye","North Carolina","ACC","passing","COMPLETIONS","269"
"4801306","Conner Harrell","North Carolina","ACC","passing","TD","2"
"4595341","Caleb Hood","North Carolina","ACC","passing","COMPLETIONS","0"
"4431452","Drake Maye","North Carolina","ACC","passing","INT","9"
"4801306","Conner Harrell","North Carolina","ACC","passing","YPA","8.2"
"4595341","Caleb Hood","North Carolina","ACC","passing","YPA","0.0"
"4431452","Drake Maye","North Carolina","ACC","passing","ATT","425"
"4801306","Conner Harrell","North Carolina","ACC","passing","INT","2"
"4430950","Jefferson Boaz","North Carolina","ACC","passing","YDS","3"
